full_name,salary2,yearID,,,,,,,,,,,,,,,,,,,,,,
Magglio Ordonez,"$425,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Sean Casey,"$400,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Trinidad Hubbard,"$400,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Keith Osik,"$400,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Cruz Jr.,"$395,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Luis Castillo,"$390,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Chris Stynes,"$375,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jason Varitek,"$375,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Eric Owens,"$370,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Carlos Beltran,"$350,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mike Mordecai,"$350,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Desi Relaford,"$345,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Vidro,"$340,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Richard Hidalgo,"$330,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Juan Encarnacion,"$325,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
David McCarty,"$325,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark Kotsay,"$324,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Todd Walker,"$322,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
David Dellucci,"$312,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brad Fullmer,"$310,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Frank Catalanotto,"$305,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Paul Konerko,"$305,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Aaron Boone,"$300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Damian Miller,"$300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Dave Berg,"$295,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Miguel Cairo,"$295,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brian Daubach,"$295,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Alex Gonzalez,"$295,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Miguel Tejada,"$290,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Preston Wilson,"$287,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Adrian Brown,"$285,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
